"LocalUserId","DateCreated","LastLogin"
"hpcguest75","2011-02-14","2013-12-12"
"hpcguest76","2011-02-14","2016-06-16"
"hpcguest77","2011-02-14","2015-01-08"
"hpcguest78","2011-02-14","2014-09-04"
"hpcguest79","2011-02-14","2015-01-06"
"hpcguest80","2011-02-14","2014-09-22"
"hpcrotwell","2011-04-14","2012-05-28"
"hrajagopalan","2010-01-06",NULL
"hrodger","2012-03-07","2013-06-16"
"hsheng","2011-03-21","2013-04-29"
"hual","2011-08-30","2015-08-07"
"hubcap","2009-09-17","2016-12-13"
"hubing","2008-06-30",NULL
"hushiji","2011-12-01","2016-12-02"
"huynhkimlam","2013-01-24",NULL
"hzhao2","2012-06-15","2016-09-28"
"idabhad","2010-09-29",NULL
"ifarajp","2011-04-01","2013-08-22"
"imata","2013-01-31","2016-12-06"
"iozceli","2011-08-30","2015-04-23"
"iraghu","2012-11-20","2016-04-01"
"itaylor","2010-05-11","2013-09-14"
"j","2012-11-29",NULL
"jacobc","2013-01-07",NULL
"jaewooh","2009-02-05","2012-12-18"
"jajeane","2009-01-21",NULL
"jamesjowers","2012-09-06","2012-12-06"
"jampala","2009-09-27","2011-12-08"
"janinej","2008-08-18","2012-06-17"
"japrops","2009-01-21",NULL
"jarvay","2012-05-14","2016-05-19"
"javidmoraveji","2010-10-11",NULL
"jawells","2013-01-07","2013-05-01"
"jayh","2008-06-30",NULL
"jbaulch","2010-09-10",NULL
"jbohann","2012-08-24","2012-09-06"
"jburto2","2012-08-21","2016-09-07"
"jcallie","2010-11-30","2014-02-21"
"jcapps","2012-09-18","2014-08-11"
"jdabney","2008-10-29",NULL
"jdanl","2012-01-25",NULL
"jdlewis","2012-01-13",NULL
"jdm047","2009-04-01","2012-12-25"
"jdwood","2011-07-28","2015-05-12"
"jeannettemyers","2010-01-06","2013-09-04"
"jebalunode","2010-10-11","2013-04-03"
"jeff","2007-12-15","2016-01-14"
"jeffhemsley","2012-07-02",NULL
"jei","2012-06-15","2012-06-15"
"jellis","2008-02-01","2014-12-29"
"jennifercash","2011-04-11","2011-10-11"
"jerekw","2011-01-19",NULL
"jeremy","2012-11-29",NULL
"jeremy5","2011-11-16","2014-03-07"
"jfuchs","2011-01-19",NULL
"jgandhi","2012-01-17","2012-02-23"
"jgdicki","2013-01-15","2013-04-25"
"jgestri","2013-01-14","2014-10-29"
"jgjohn","2012-09-12","2013-04-08"
